제품명,주성분,이 약의 효능은 무엇입니까?,이 약은 어떻게 사용합니까?,이 약은 어떻게 보관해야 합니까?
맥스타민프리미엄정,시아노코발라민1000배산|리보플라빈|폴산|제피아스코르브산|산화아연|피리독신염산염|니코틴산아미드|판토텐산칼슘|벤포티아민|비오틴|콜린타르타르산염|이노시톨|우르소데옥시콜산|토코페롤아세테이트2배산|γ오리자놀|콜레칼시페롤농축분말,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민B1|B2|B6|C|D|E의보급과신경통|근육통|관절통(요통|어깨결림등)|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화|각기|눈의피로|뼈|이의발육불량|구루병의예방과아연의보급에사용합니다.,12세이상및성인1회1정씩|1일1회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
맥스텐정,우르소데옥시콜산|디아스타제·프로테아제·셀룰라제|리파제,이 약은 소화불량|식욕감퇴(식욕부진)|과식|체함|소화촉진|소화불량으로인한위부팽만감에사용합니다.,15세이상의성인은1회1정1일3회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
맥스펜정(덱시부프로펜),덱시부프로펜,이 약은 만성다발성관절염|류마티스관절염|관절증|강직척추염|외상및수술후통증성부종또는염증그리고 염증|통증및발열을수반하는감염증의치료보조에사용합니다.,성인은1회1정(300mg)씩|1일2~4회복용합니다.단|1일4정(1|200mg)을초과하지않습니다.,습기와빛을 피해 실온에서 보관하십시오
맥스프로시럽(덱시부프로펜),덱시부프로펜,이 약은 급성상기도감염으로인한발열시해열에사용합니다.,생후6개월이상의소아는1회0.4~0.6mL/kg(5~7mg/kg)|4~6시간간격으로필요시에복용하며|1일최대4회(28mg/kg)를넘지않습니다.체중이30kg이하인소아에게는1일최대25mL(300mg)을초과하지않습니다.연령대별권장용량은허가사항을참고하십시오.,빛을피해상온(15~25℃)에서보관하십시오.
맥스프로펜시럽(덱시부프로펜),덱시부프로펜,이 약은 급성상기도감염으로인한발열시해열에사용합니다.,생후6개월이상의소아는1회0.4~0.6mL/kg(5~7mg/kg)|4~6시간간격으로필요시에복용하며|1일최대4회(28mg/kg)를넘지않습니다.체중이30kg이하인소아에게는1일최대25mL(300mg)을초과하지않습니다.몸무게를알 경우 몸무게에따른용량으로복용하는것이더적절하므로연령대별권장용량은허가사항을참고하십시오. ,빛을피해상온(15~25℃)에서보관하십시오.
맥시라민에이정,레티놀아세테이트과립|β카로틴20%과립|토코페롤아세테이트2배산|콜레칼시페롤과립|피토나디온5%|제피아스코르브산|니코틴산아미드3배산|피리독신염산염3배산|티아민질산염3배산|리보플라빈|폴산|시아노코발라민1000배산|비오틴|판토텐산칼슘|무수인산수소칼슘|푸마르산철|산화마그네슘|산화제이구리|산화아연|셀레늄함유건조효모|염화크롬|몰리브덴함유건조효모|황산망간수화물|염화칼륨|이노시톨|γ오리자놀,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민A|D|E|B1|B2|B6|C의보급과눈의건조감의완화|야맹증(밤에잘못보는증상)|뼈|이의발육불량|구루병의예방과아연의보급에사용합니다.,만12세이상및성인1회1정씩|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
맥시부키즈시럽(덱시부프로펜),덱시부프로펜,이 약은 급성상기도감염으로인한발열시해열에사용합니다.,생후6개월이상의소아는1회0.4~0.6mL/kg|4~6시간간격으로필요시에복용하며|1일최대4회(28mg/kg)를넘지마십시오.체중이30kg이하인소아에게는1일최대25mL를초과하지마십시오.몸무게를아는경우몸무게에따른용량으로복용하는것이더적절하므로자세한사항은허가사항을참고하십시오.,빛을 피해 실온에서 보관하십시오
맥시부펜이알정300밀리그램(덱시부프로펜),덱시부프로펜,이 약은 만성다발성관절염|류마티스관절염|관절증|강직척추염|외상및수술후통증성부종또는염증그리고 염증|통증및발열을수반하는감염증의치료보조에사용합니다.,성인은1회2정(600mg)씩|1일2회12시간간격으로복용합니다.단|1일4정(1|200mg)을초과하지않습니다.,습기와빛을 피해 실온에서 보관하십시오
맥시쿨펜연질캡슐(덱시부프로펜),덱시부프로펜,이 약은 만성다발성관절염|류마티스관절염|관절증|강직척추염|외상및수술후통증성부종또는염증|염증|통증및발열을수반하는감염증의치료보조에사용합니다.,성인은1회1캡슐(300mg)씩|1일2~4회복용합니다.단|1일4캡슐(1|200mg)을초과하지않습니다.,습기와빛을 피해 실온에서 보관하십시오
맥시펜시럽(덱시부프로펜),덱시부프로펜,이 약은 급성상기도감염으로인한발열시해열에사용합니다.,생후6개월이상의소아는1회0.4~0.6mL/kg(5~7mg/kg)|4~6시간간격으로필요시에복용하며|1일최대4회(28mg/kg)를넘지않습니다.체중이30kg이하인소아에게는1일최대25mL(300mg)을초과하지않습니다.연령대별권장용량은허가사항을참고하십시오. ,빛을피해상온(15~25℃)에서보관하십시오.
맥쎈연질캡슐(나프록센),나프록센,이 약은 류마티양관절염|골관절염(퇴행성관절질환)|강직성척추염|건염(힘줄염)|급성통풍|월경곤란증과 활액(윤활)낭염|골격근장애(염좌(삠)|좌상(타박상)|외상(상처)|요천통(허리통증)|수술후동통(통증)|편두통|발치(이를뽑음)후동통(통증)에사용합니다.,성인은류마티양관절염|골관절염|강직성척추염에는1회1~2캡슐(250~500mg)|1일2회(12시간마다)|급성통풍에는초회량(처음복용량)으로3캡슐(750mg)복용하고발작이소실(없어짐)될때까지8시간간격으로1캡슐(250mg)을복용합니다.골격근장애|수술후동통(통증)|발치(이를뽑음)후동통(통증)|월경곤란증|건염(힘줄염)|활액(윤활)낭염에는초회량(처음복용량)으로2캡슐(500mg)을복용한후6~8시간간격으로1캡슐(250mg)씩복용하고1일총용량이5캡슐(1|250mg)을초과하지않도록합니다.편두통에는초회량(처음복용량)으로3캡슐(750mg)을복용하고필요하면1일1~2캡슐(250~500mg)을더복용할수있으며초회량(처음복용량)의복용 30분후에복용합니다.1일총용량이5캡슐(1|250mg)을초과하지않도록합니다.,상온에서 보관하십시오
맥코프시럽(딸기향|바나나향),구아이페네신|슈도에페드린염산염|덱스트로메토르판브롬화수소산염수화물,이 약은 기침|가래|콧물|코막힘|재채기에사용합니다.,만2세~6세는1회5mL씩|만6세~12세는 1회10mL씩|4~6시간마다복용합니다.24시간동안4회이상복용하지마십시오.,습기와빛을 피해 실온에서 보관하십시오
맥타정,메코발라민|토코페롤아세테이트2배산|푸르설티아민염산염|피리독신염산염,이 약은 요(허리)통|수족저림|신경통|어깨ㆍ목결림증상의완화에사용합니다.,15세이상및성인은1회1정씩|1일3회식후복용합니다.,습기와빛을 피해 실온에서 보관하십시오개봉후6개월이내에복용하십시오.
맥페롤에프연질캡슐,토코페롤아세테이트|산화마그네슘|피리독신염산염|티아민질산염|벤포티아민|감마오리자놀,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|노년기의비타민E|B1|B6의보급과말초혈행장애및갱년기의어깨ㆍ목결림|수족저림ㆍ수족냉증(손발이차가움)증상의완화|신경통|근육통|관절통(요통|어깨결림등)|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화|각기|눈의피로와마그네슘결핍으로인한근육경련에사용합니다.,만12세이상및성인은1회1캡슐씩|1일2회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
맥펜시럽(이부프로펜)(새콤한오렌지맛|감귤향),이부프로펜,이 약은 류마티양관절염|연소성류마티양관절염|골관절염(퇴행성관절질환)|감기로인한발열및동통|요통|월경곤란증|수술후동통과강직성척추염|두통|치통|근육통|신경통|급성통풍|건선성관절염|연조직손상(염좌|좌상)|비관절류마티스질환(건염|건초염|활액낭염)에사용합니다.,류마티양관절염|골관절염|강직성척추염|연조직손상|비관절류마티스질환|급성통풍|건선성관절염에성인은1회200600mg씩|1일3~4회복용합니다. 1일최고3200mg까지투여할수있습니다.연소성류마티양관절염에는1일체중kg당30~40mg을 3~4회분할하여복용합니다.경증및중등도의동통(통증)|감기에성인은1회200~400mg씩|1일3~4회복용합니다.연령|증상에따라적절히증감합니다.체중이30kg미만인어린이는1일500mg을초과해서는안되며| 공복시투여는피하는것이바람직합니다.만11세~14세는 200~250mg(10~13ml)씩|만7세~10세는150~200mg(8~10ml)씩|만3세~6세는 100~150mg(5~8ml)씩|만1세~2세는 50~100mg(3~5ml)씩1일3~4회복용합니다.,빛을 피해 실온에서 보관하십시오
맨담듀오임팩카타플라스마,살리실산메틸|L멘톨|l멘톨|dl캄파|dl캄퍼|노닐산바닐릴아미드,이 약은 타박상|삠|허리통|어깨결림|근육통|관절통의진통·소염에사용합니다.,약면의박리지를벗기고1일1~3회질환부위에붙입니다.,습기와빛을 피해 실온에서 보관하십시오
맨담디클로엔플라스타(디클로페낙나트륨),디클로페낙나트륨,이 약은 퇴행성관절염(골관절염)|어깨관절주위염|힘줄및힘줄윤활막염|힘줄주위염|위팔뼈상과염(테니스엘보등)|근육통(근|근막성허리통증)|외상(상처)후부기및통증의진통|소염(항염)에사용합니다.,성인(15세이상)은1일1회1매를환부(질환부위)에붙입니다.,습기와빛을 피해 실온에서 보관하십시오
맨담디클론첩부제(디클로페낙디에틸암모늄),디클로페낙디에틸암모늄,이 약은 변형성관절염|견관절주위염|건ㆍ건초염|건주위염|상완골상과염(테니스엘보우등)|외상후의종창ㆍ동통(타박|좌상|염좌등)|근육통의진통‧소염에사용합니다.,환부(질환부위)에1일1회부착합니다.,빛을 피해 실온에서 보관하십시오
맨담록소펜카타플라스마(록소프로펜나트륨수화물),록소프로펜나트륨수화물,이 약은 퇴행성관절염(골관절염)|근육통|외상(상처)후의종창(부기)|통증의진통ㆍ소염(항염)에사용합니다.,1일1회|1매환부(질환부위)에부착합니다.,습기와빛을 피해 실온에서 보관하십시오
맨담이부쿨플라스타(이부프로펜),이부프로펜,이 약은 골관절염|어깨관절주위염|건.건초염(힘줄염.힘줄윤활막염)|건주위염(힘줄주위염)|상과염(테니스엘보우등)|근육통|외상후의종창(부기).동통(통증)의진통·소염(항염)에사용합니다.,약면의박리지를떼어낸후환부에1일1회1매를부착합니다.의사의지시가없는경우치료기간은14일을넘지않도록하며|24시간마다약을교체합니다.,습기와빛을 피해 실온에서 보관하십시오
맨담케토쿨카타플라스마(케토프로펜),케토프로펜,이 약은 퇴행성관절염(골(뼈)관절염)|어깨관절주위염|건ㆍ건초염(힘줄염ㆍ힘줄윤활막염)|건(힘줄)주위염|상완골(위팔뼈)상과염(테니스엘보우등)|근육통|외상(상처)후의종창(부기)ㆍ동통(통증)의진통ㆍ소염(항염)에사용합니다.,약면의박리지를떼어낸후환부(질환부위)에1일2회부착합니다.,빛을 피해 실온에서 보관하십시오
맨담케토플라스타(케토프로펜),케토프로펜,이 약은 퇴행성관절염(골(뼈)관절염)|어깨관절주위염|건ㆍ건초염(힘줄염ㆍ힘줄윤활막염)|건(힘줄)주위염|상완골(위팔뼈)상과염(테니스엘보우등)|근육통|외상(상처)후의종창(부기)ㆍ동통(통증)의진통ㆍ소염(항염)에사용합니다.,약면의박리지를떼어낸후환부(질환부위)에1일2회부착합니다.,빛을 피해 실온에서 보관하십시오
맨담펠비낙첩부제,펠비낙,이 약은 퇴행성관절염(골관절염)|어깨관절주위염|건ㆍ건초염|건주위염|상완골상과염(테니스엘보우등)|근육통|외상후의종창ㆍ동통의진통ㆍ소염에사용합니다.,약면의박리지를떼어낸후1회1매를1일2회환부에붙입니다.,상온에서 보관하십시오
맨담플루비플라스타(플루르비프로펜),플루르비프로펜,이 약은 퇴행성관절염(골관절염)|어깨관절주위염|건(힘줄)ㆍ건초염(힘줄윤활막염)|상완골(위팔뼈)상과염(테니스엘보우등)|근육통|외상(상처)후의종창(부기)ㆍ동통(통증)의진통ㆍ소염(항염)에사용합니다.,약면의박리지를떼어낸후환부(질환부위)에1일2회부착합니다.적용부위의땀을닦아낸후사용하십시오.,습기와빛을 피해 실온에서 보관하십시오
맨담한방고카타플라스마,황백연조엑스(3.3→1)|치자연조엑스(3.0→1)|산초30%에탄올연조엑스(3.3→1)|살리실산글리콜|L멘톨|d캄파|토코페롤아세테이트|글리시리진산,이 약은 염좌(삠)|타박|근육통|관절통|골절통|요(허리)통|견통(어깨통증)|동창의진통ㆍ소염에사용합니다.,1일1~2회|1회1매씩환부에부착합니다.,습기와빛을 피해 실온에서 보관하십시오
맨질크림(우레아),우레아,이 약은 진행성지장각피증(주부습진의건조형)|손ㆍ발바닥각피증|어린선|노인성건피증|모공성태선|아토피피부에사용합니다.,1일수회환부를씻은다음이약을바른후충분히문지릅니다.,상온에서 보관하십시오
맨포스5000액(L아스파르트산L아르기닌),L아스파르트산L아르기닌수화물,이 약은 정신적·신체적기능무력증상의보조요법및회복기간(아미노산결핍상태)동안의보조요법으로사용합니다.,12세이상의청소년및성인은1일1회5g을복용합니다.아침에복용하는것이좋지만취침전에도복용가능합니다.적은양의물과함께복용할수있습니다.,빛을 피해 실온에서 보관하십시오
머슬린액(시트룰린말산염),시트룰린말산염,이 약은 기능무력증의보조치료에사용합니다.,성인은1회1g씩1일3회|6세이상소아는1회1g씩1일2회복용합니다.4주이상복용하지않습니다.,습기와빛을 피해 실온에서 보관하십시오
머시론정,데소게스트렐|에티닐에스트라디올,이 약은 피임에사용합니다.,1일1정씩21일간복용하고|7일간휴약한후새로운포장을복용합니다.정제는매일대략같은시간에|물과함께|포장에표시된순서대로복용합니다.7일의휴약기간동안소퇴성출혈이나타나는데|대개정제의마지막복용후2~3일내에시작되며|새로운포장을시작하기전에월경이끝나지않을수도있습니다.자세한사항은허가사항상세정보를참고하십시오.,상온에서 보관하십시오
멀스토구강용해필름(메클리진염산염수화물),메클리진염산염수화물,이 약은 멀미에의한구역|구토|어지러움에사용합니다.,12세이상청소년및성인은1일1회1~2매를혀위에놓고녹여서복용하고|녹은후에는입안에머금지않고|바로삼킵니다.멀미의예방에는승차1시간전에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
멀티브큐골드정,티아민질산염|리보플라빈|니코틴산아미드|피리독신염산염|판토텐산칼슘|셀레늄함유건조효모|푸마르산철|폴산|시아노코발라민1000배산|직타용아스코르브산97%|콜레칼시페롤농축분말|토코페롤아세테이트2배산|산화아연|레티놀아세테이트과립|산화마그네슘|황산칼륨|인산수소칼슘수화물|유비데카레논,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민A|D|E|B1|B2|B6|C의보급과눈의건조감의완화|야맹증(밤에잘못보는증상)|뼈|이의발육불량|구루병의예방|햇빛ㆍ피부병등에의한색소침착(기미|주근깨)의완화|잇몸출혈|비출혈(코피)예방과 철결핍성빈혈의예방및치료와아연의보급에사용합니다.,만12세이상및성인은 1회1정|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
멀티블루에프정,비스벤티아민|피리독신염산염|시아노코발라민|산화아연|아셀렌산나트륨오수화물|크롬함유건조효모|황산망간수화물,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|비타민B1|B6의보급과신경통|근육통|관절통(요(허리)통|어깨결림등)|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화|각기|눈의피로와아연|셀레늄보급에사용합니다.,만12세이상어린이및성인은1일2회|1회1정씩또는1일1회|1회2정씩복용합니다.,습기와빛을 피해 실온에서 보관하십시오
멀티속정,침강탄산칼슘|탄산수소나트륨|트리메부틴말레산염|메타규산알루민산마그네슘|감초가루|디아스타제·프로테아제·셀룰라제|리파제|스코폴리아엑스,이 약은 위산과다|속쓰림|위부불쾌감|위부팽만감|식체(위체)|구역|구토|위통|신트림|소화불량|식욕감퇴(식욕부진)|과식|소화촉진|소화불량으로인한위부팽만감에사용합니다.,성인은1회2정씩|1일3회매식간복용합니다.,습기와빛을 피해 실온에서 보관하십시오
멀티아민정,L류신|L메티오닌|L발린|L이소류신|L트레오닌|L페닐알라닌|L트리프토판|L리신염산염|L아르기닌염산염|티아민질산염|토코페롤숙시네이트칼슘|리보플라빈|니코틴산아미드|피리독신염산염,이 약은 자양강장|허약체질|육체피로|병중병후|위장장해|영양장해|발열성소모질환|임신수유기등의경우의영양보급에사용합니다.,15세이상청소년및성인은1회2정|7세~14세의소아는1회1정을1일1~2회복용합니다.,습기와빛을 피해 실온에서 보관하십시오개봉후6개월이내에복용하십시오.
멀티큐텐플러스정,유비데카레논|γ오리자놀|우르소데옥시콜산|제피아스코르브산|토코페롤아세테이트2배산|판토텐산칼슘|푸르설티아민|니코틴산아미드|시아노코발라민1000배산|리보플라빈부티레이트|콜레칼시페롤과립|β카로틴20%과립|레티놀아세테이트과립|피리독신염산염|폴산|비오틴|무수인산수소칼슘|산화마그네슘|산화아연|황산칼륨|황산망간수화물,이 약은 육체피로|임신·수유기|병중·병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민A|D|E|B1|B2|B6|C의보급과눈의건조감의완화|야맹증(밤에잘못보는증상)|뼈|이의발육불량|구루병의예방|신경통|근육통|관절통(요통|어깨결림등)증상의완화|각기|눈의피로|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화와아연의보급에사용합니다.,만8세이상및성인은1회1정|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
메가600정,콘드로이틴설페이트나트륨|푸르설티아민염산염|니코틴산아미드|피리독신염산염|판토텐산칼슘|리보플라빈부티레이트|γ오리자놀|콜린타르타르산염|시아노코발라민1000배산|이노시톨,이 약은 육체피로|임신‧수유기|병중‧병후(병을앓는동안이나회복후)의체력저하시비타민B1|B2|B6의보급과신경통|근육통|관절통(요(허리)통|어깨결림등)증상의완화|각기|눈의피로에사용합니다.,만12세이상및성인은1회1정|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
메가골드비타정,벤포티아민|리보플라빈|니코틴산아미드|판토텐산칼슘|피리독신염산염|폴산|시아노코발라민1000배산|콜린타르타르산염|이노시톨|비오틴|산화아연|제피아스코르브산|푸르설티아민|우르소데옥시콜산,이 약은 육체피로|임신·수유기|병중·병후(병을앓는동안이나회복후)의체력저하시비타민B1|B2|B6|C의보급과신경통|근육통|관절통(요통|어깨결림등)|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화|각기|눈의피로와아연의보급에사용합니다.,만12세이상어린이및성인은1일1회|1회1정식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
메가골드플러스정,콘드로이틴설페이트나트륨|푸르설티아민|니코틴산아미드|이노시톨|콜린타르타르산염|판토텐산칼슘|피리독신염산염|시아노코발라민1000배산|리보플라빈|γ오리자놀|콜레칼시페롤과립,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후의체력저하시|발육기|노년기의비타민D|B1|B2|B6의보급과신경통|근육통|관절통(요통|어깨결림등)증상의완화|각기|눈의피로에사용합니다.,만8세이상어린이및성인은1회1정씩|1일1회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
메가바이정,시아노코발라민1000배산|리보플라빈|폴산|제피아스코르브산|산화아연|피리독신염산염|니코틴산아미드|판토텐산칼슘|벤포티아민|비오틴|콜린타르타르산염|이노시톨|우르소데옥시콜산|토코페롤아세테이트2배산|γ오리자놀|콜레칼시페롤농축분말,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민B1|B2|B6|C|D|E의보급과신경통|근육통|관절통(요통|어깨결림등)|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화|각기|눈의피로|뼈|이의발육불량|구루병의예방과아연의보급에사용합니다.,12세이상및성인1회1정씩|1일1회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
메가백정,콜린타르타르산염|티아민염산염|리보플라빈|피리독신염산염|시아노코발라민|니코틴산아미드|폴산|d비오틴|파라아미노안식향산|판토텐산칼슘|이노시톨,이 약은 육체피로|임신·수유기|병중·병후(병을앓는동안이나회복후)체력저하시비타민B1|B2|B6의보급과각기|눈의피로|신경통|근육통|관절통(요통|어깨결림등)|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화에사용합니다. ,성인은1회1정씩|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
메가벤포큐정,폴산|D비오틴|시아노코발라민|산화아연|유비데카레논|셀레늄함유건조효모|리보플라빈|이노시톨|피리독신염산염|벤포티아민|니코틴산아미드|아스코르브산|감마오리자놀|우르소데옥시콜산|토코페롤아세테이트2배산|콜레칼시페롤농축분말|판토텐산칼슘,이 약은 육체피로|임신·수유기|병중·병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민B1|B2|B6|C|D|E의보급및뼈|이의발육불량|구루병의예방|각기·눈의피로|신경통|근육통|관절통(요(허리)통|어깨결림등)|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화|아연의보급에사용합니다.,만8세이상어린이및성인은1회1정씩|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
메가본정,콘드로이틴설페이트나트륨|푸르설티아민|니코틴산아미드|아스코르브산|피리독신염산염|시아노코발라민1000배산|이노시톨|판토텐산칼슘|리보플라빈|γ오리자놀,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시의비타민B1|B2|B6|C의보급과신경통|근육통|관절통(요통|어깨결림등)의완화와각기|눈의피로|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염에사용합니다.,만8세이상및성인은1회1정씩|1일1회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
메가비액티브정,벤포티아민|리보플라빈|리보플라빈부티레이트|니코틴산아미드|판토텐산칼슘|피리독신염산염|피리독살포스페이트수화물|비오틴|폴산|히드록소코발라민아세트산염|이노시톨|콜린타르타르산염|아스코르브산과립97%|산화아연|토코페롤아세테이트2배산|셀레늄함유건조효모|농축콜레칼시페롤(분말형)|우르소데옥시콜산|감마오리자놀,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민D|E|B1|B2|B6|C의보급과뼈|이의발육불량|구루병의예방|각기|눈의피로|신경통|근육통|관절통(요(허리)통|어깨결림등)|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화와아연의보급에사용합니다.,만8세이상및성인은1회1정씩|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
메가비콤정,콜린타르타르산염|이노시톨|γ오리자놀|티아민질산염|리보플라빈|니코틴산아미드|폴산|판토텐산칼슘|피리독신염산염|d비오틴|시아노코발라민|아스코르브산,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시비타민B1|B2|B6|C의보급과신경통|근육통|관절통(요통|어깨결림등)증상의완화|각기|눈의피로및구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화에사용합니다.,만8세이상및성인은1회1정씩|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
메가비텐액티브정,벤포티아민|리보플라빈부티레이트|니코틴산아미드|판토텐산칼슘|피리독살포스페이트수화물|히드록소코발라민아세트산염|비오틴|폴산|콜린타르타르산염|이노시톨|아스코르브산|토코페롤아세테이트2배산|농축콜레칼시페롤(분말형)|셀레늄함유건조효모|산화마그네슘|산화아연|유비데카레논|감마오리자놀|우르소데옥시콜산,이 약은 육체피로|임신·수유기|병중·병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민D|E|B1|B2|B6|C의보급과뼈|이의발육불량|구루병의예방|각기|눈의피로|신경통|근육통|관절통(요(허리)통|어깨결림등)|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염의완화및아연의보급에사용합니다.,만8세이상및성인은1일1회|1회1정을식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
메가비텐정,γ오리자놀|니코틴산아미드|리보플라빈|벤포티아민|비오틴|산화아연|시아노코발라민1000배산|우르소데옥시콜산|이노시톨|제피아스코르브산|콜레칼시페롤농축분말|콜린타르타르산염|토코페롤아세테이트2배산|판토텐산칼슘|폴산|피리독신염산염,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민B1|B2|B6|C|D|E의보급과신경통|근육통|관절통(요통|어깨결림등)|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화|각기|눈의피로|뼈|이의발육불량|구루병의예방과아연의보급에사용합니다.,12세이상어린이및성인1회1정씩|1일1회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
메가비텐프리미엄정,비오틴|폴산|콜레칼시페롤농축물(분말형)|감마오리자놀|유비데카레논|우르소데옥시콜산|벤포티아민|리보플라빈|판토텐산칼슘|니코틴산아미드|피리독신염산염|시아노코발라민1000배산|이노시톨|콜린타르타르산염|아스코르브산과립97%|산화마그네슘|산화아연|토코페롤아세테이트2배산|셀레늄함유건조효모,이 약은 육체피로|임신·수유기|병중·병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민D|E|B1|B2|B6|C의보급|뼈|이의발육불량|구루병의예방|각기|눈의피로및신경통|근육통|관절통(요통|어깨결림등)|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염의완화|아연의보급에사용합니다.,만8세이상어린이및성인은1회1정씩|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
메가삼백정,벤포티아민|피리독신염산염,이 약은 비타민B1및B6결핍으로인한신경계질환에사용합니다.,성인은1회1정씩|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
메가센타액,자하거엑스|티아민질산염|리보플라빈포스페이트나트륨|피리독신염산염|니코틴산아미드|카페인무수물,이 약은 자양강장|허약체질|육체피로|병후의체력저하|식욕부진|영양장애|발열성ㆍ소모성질환에사용합니다.,성인은1회1병씩|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
메가소프크림(프레드니솔론발레로아세테이트),프레드니솔론발레로아세테이트,이 약은 습진|피부염군(진행성지장각피증|만성단순태선포함)|양진(가려움발진)군(구진두드러기포함)|벌레물린데|건선|손바닥및발바닥농포증에사용합니다.,1일수회적당량을환부에바르고증상에따라적절히증감합니다.,상온에서 보관하십시오
메가엑트액(시트룰린말산염),시트룰린말산염,이 약은 기능무력증의보조치료에사용합니다.,성인은1회1포(1g)|1일3회물에희석하여복용합니다.6세이상의소아는1회1포(1g)|1일2회물에희석하여복용합니다.4주이상투여하지않습니다.,습기와빛을 피해 실온에서 보관하십시오
메가원정,피리독신염산염|d비오틴|시아노코발라민|토코페롤아세테이트2배산|폴산|벤포티아민|니코틴산아미드|판토텐산칼슘|산화아연|아스코르브산|우르소데옥시콜산|이노시톨|리보플라빈|콜린타르타르산염|셀레늄함유건조효모,이 약은 육체피로|임신·수유기|병중·병후(병을앓는동안이나회복후)의체력저하시|노년기의비타민E|B1|B2|B6|C의보급|신경통|근육통|관절통(요통|어깨결림등)|각기|눈의피로|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염의완화|아연의보급에사용합니다.,만12세이상및성인은1회1정씩|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
