제품명,업체명,주성분,이 약의 효능은 무엇입니까?,이 약은 어떻게 사용합니까?,이 약의 사용상 주의사항은 무엇입니까?,이 약을 사용하는 동안 주의해야 할 약 또는 음식은 무엇입니까?,이 약은 어떤 이상반응이 나타날 수 있습니까?,이 약은 어떻게 보관해야 합니까?
노코리즈액(과산화수소수30%),동아참메드주식회사,과산화수소수30%,이약은의료기구(진료대|수술대|의료용조명기등)의소독에사용합니다.,초당80m속도|시간당1000ml용량분사성능의전용분무기로1㎥당6ml를분사합니다.?이약은다음과같은순서대로사용합니다.전용분무기의본사노즐버튼을눌러분사노즐을분리합니다.본품용기를정방향으로기기와조심스럽게체결합니다.본품용기를체결한분사노즐을전용분무기에연결합니다.전원케이블을사용하여기기를전기콘센트에연결합니다.분사조절레버를분사대상공간용적의6배로설정합니다.(예:분사대상공간용적이50㎥인경우300㎥으로설정)분사조절레버의표시(㎥)에따른분사시간및분사량은1㎥당1ml로설정되어있습니다.전원스위치버튼을눌러기기에전원을공급합니다.손잡이를이용하여분사할구역을향해분사노즐을맞춥니다.시작버튼을누르면부저음이15초간울리며|이때사용자는분사대상공간에서나옵니다.분사종료후기기는자동으로멈춥니다.분사종료후일정시간이지난뒤분사공간에재입실합니다.기기를멈추려면전원스위치버튼을눌러전원을차단합니다.분사종료후재입실을위한대기시간은2시간입니다.오염물질이있는경우오염을깨끗이제거한후에본품으로소독멸균합니다.,피부에닿았을경우즉시오염된의복등을벗고|흐르는물로충분히씻어내십시오.눈에들어갔을경우즉시흐르는물로15분간이상세안후의사와상담하십시오.증기를흡입하였을경우즉시신선한공기가있는장소로이동후의사와상담하십시오.잘못하여먹었을경우즉시다량의물이나우유를마시게하고무리하게구토를시키지말고의사와상담하십시오.사용전이약의용법용량및주의사항을철저하게숙지하십시오.피부와눈에접촉을피하고장갑|보호안경|기타적절한보호장비또는의류를착용하여약과의접촉을피하십시오.제조사의검증을받은전용분사기와사용하십시오.소독전충분히세정하여눈에보이는오염물질을제거하십시오.소독액을폐기할경우다량의물과함께흘려보내십시오.이약은의료기기의표면을소독하므로내부소독이필요한기기의경우사용하지마십시오.,-,-,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
알마겐정500밀리그램(알마게이트),한국신텍스제약(주),알마게이트|유당수화물,이약은위ㆍ십이지장궤양|위염|위산과다|속쓰림|구역|구토|위통|신트림의제산작용및증상의개선에사용합니다.,만12세이상및성인은1회1g씩|1일3회식후30분~1시간에씹어서경구복용합니다.필요시취침전에1회더복용할수있습니다.,이약에과민증|알츠하이머병|치질|체액저류(부기)|임신중독증|설사|진단되지않은소화기관출혈|갈락토오스불내성|Lapp유당분해효소결핍증또는포도당-갈락토오스흡수장애등의유전적인문제가있는환자는이약을복용하지마십시오.이약을복용하기전에신장애환자|신체허약자|인함량이낮은식이요법실시자|소화흡수장애가있는사람|고령자|혈액구토또는흑색대변등과같은소화기관출혈증상환자|임부또는임신하고있을가능성이있는여성및수유부는의사또는약사와상의하십시오.2주정도복용하여도증상의개선이없을경우복용을즉각중지하고의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오.,테트라사이클린계항생물질과함께복용하지마십시오.비스테로이드소염진통제(NSAID)|궤양치료제|디기탈리스제제|클로르프로마진|란소프라졸|프레드니솔론|페니실린|퀴놀론|철(Fe)염제제와함께복용시2~3시간간격을두고복용하십시오.살리실산염과함께복용시의사또는약사와상의하십시오.,변비|설사등이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
엑스케인크림(리도카인),(주)인트로바이오파마,리도카인,이약은남성성기촉각의예민성감소에사용합니다.,성교5~15분전에크림으로서0.25~0.66g(리도카인으로서23~62mg)을도포합니다.용량과적용시간은개인에따라다르며최저유효량을사용하되24시간이내에최대2g(리도카인으로서184mg)을초과하여투여하지않습니다.,이약?또는기타의아미드계국소마취제에과민증환자|?적용부위에외상또는염증환자|?상대방이임신중인경우는이약을사용하지마십시오.이약을사용하기전에?간?신질환|프로필렌글리콜에과민증환자는?의사또는약사와상의하십시오.외용으로만사용하십시오.눈또는코에사용하지마십시오.동일한부위에연속해서도포하지않는것이바람직합니다.,-,본인또는상대방에발진또는자극이나타나는경우사용을즉각중지하고의사또는약사와상의하십시오.,실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
디오맥스정600밀리그램(디오스민),풍림무약(주),디오스민,이약은?정맥부전과관련된?다리중압감|통증|무세혈관취양증에의한장애의보조치료및?치질과관련된징후의치료에?사용합니다.,정맥부전에1회1정(600mg)씩|1일1회(매일아침식전)복용합니다.치질에1회1정(600mg)씩|1일2~3회식사?시복용합니다.,이약에과민증환자|수유부는이약을복용하지마십시오.이약을복용하기전에임부는의사또는약사와상의하십시오.오랜기간복용하지마십시오.증상이빨리나아지지않으면항문검사를받거나의사또는약사와상의하십시오.,-,소화장애가나타날수있습니다.,어린이의손이닿지않는곳에보관하십시오.실온에서보관하십시오
아세틸캡슐(아세틸시스테인),오스틴제약(주),아세틸시스테인,이약은급ㆍ만성기관지염|기관지천식|후두염|부비동염|낭성섬유증의질환에서?객담배출곤란에사용합니다.,급성질환에성인은1회1캡슐(200mg)씩|1일3회|6~14세는1회1캡슐(200mg)씩|1일2회식전에소량의물과함께복용합니다.만성질환에성인은1회1캡슐(200mg)씩|1일2회|6~14세는1회??1/2?캡슐(100mg)씩|1일3회식전에소량의물과함께복용합니다.낭성섬유증에6세이상은1회1캡슐(200mg)씩|1일3회식전에소량의물과함께복용합니다.,이약에과민증환자|?위?십이지장궤양|?2세미만영아|갈락토오스불내성|Lapp유당분해효소결핍증또는포도당-갈락토오스흡수장애등의유전적인문제가있는환자는이약을복용하지마십시오.이약을복용하기전에?임부또는임신하고있을가능성이있는여성및수유부는의사또는약사와상담하십시오.,경구용항생제(아목시실린|세푸록심|독시사이클린|에리트로마이신|티암페니콜)와?함께복용시적어도2시간?간격을두고복용하십시오.,드물게구역|구토|구내염|가슴쓰림|설사|두드러기|가려움|발진|두통|이명|기관지경련(특히천식환자)|빈맥|고혈압등이나타나는경우?즉각복용을중지하고?의사또는약사와상담하십시오.,실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
파인싹연질캡슐(클로닉신리시네이트),제일헬스사이언스(주),클로닉신리시네이트,이약은근육통|신경통|외상후및수술후통증|두통|치통|귀통증의경증또는중등도통증의완화에사용합니다.,성인은1회1캡슐~2캡슐(125~250mg)을1일3회복용합니다.,소화성궤양|약물에기인한?위·십이지장에동요|이약에과민증환자|아스피린이나다른비스테로이드성소염진통제(COX-2억제제포함)에천식|두드러기또는알레르기반응경험자|관상동맥우회로술(CABG)전후에발생하는통증의치료환자|임부또는임신하고있을가능성이있는여성|심한간장애|심한신장애|심한심부전|?크론병또는궤양성대장염과같은염증성장질환환자는?이약을복용하지마십시오.이약을복용하기전에?소화성궤양의경험자|소아및고령자|고혈압|체액저류또는심부전|?기관지천식환자|?간장애또는경험자|신장애?또는경험자는?의사또는약사와상의하십시오.,이약을복용하는동안다른비스테로이드성소염진통제(NSAIDs)|ACE억제제또는안지오텐신Ⅱ수용체길항제|아스피린|이뇨제|리튬|메토트렉세이트|쿠마린계항응고제(와르파린등)|시클로스포린및타크로리무스|항혈소판제및선택적세로토닌재흡수억제제(SSRI)|코르티코스테로이드를함께복용하지마십시오.?미소프로스톨을?복용하는?환자는복용하기전에?의사또는약사와상의하십시오.,구역|구토|설사|변비|복통(배아픔)|위장출혈|소화성궤양및천공(뚫림)|드물게쇼크|발진|가려움|빈혈|AST와ALT의상승|졸음|두통|때때로어지러움|졸음|두통|식은땀|한기|이상황홀감등이나타나면복용을즉각중지하고의사또는약사와상의하십시오.,실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
마이렉스정,태극제약(주),락트산마그네슘수화물|피리독신염산염,이약은마그네슘결핍으로인한근육경련에사용합니다.,만12세이상및성인은1회2정|1일3회식사중다량의물과함께복용합니다.,이약에과민증환자|?12개월미만의영아|중증의신장애|퀴니딘투여환자|?갈락토오스불내성|Lapp유당분해효소결핍증또는포도당-갈락토오스흡수장애등의유전적인문제가있는환자는이약을복용하지마십시오.이약을복용하기전에임부및수유부|?심장ㆍ순환기계기능장애|경증~중등도신장애|저단백혈증환자는의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.1개월정도복용하여도증상의개선이없을경우복용을즉각중지하고의사또는약사와상의하십시오.,퀴니딘|인산염|?칼슘염?제제|경구용테트라사이클린계?제제|제산제|레보도파와함께복용하지마십시오.항알도스테론제|트리암테렌과함께복용시의사또는약사와상의하십시오.녹차|홍차등탄닌을함유하는차는복용중|복용전후에는피하십시오.,홍반|복통|설사|부전수축|중추신경계기능저하등이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
알젠다졸정(알벤다졸),주식회사더유제약,알벤다졸,이약은회충|요충|십이지장충|편충|아메리카구충|분선충의감염및이들혼합감염의치료에사용합니다.,성인및24개월이상의소아는요충에감염된경우1일1회|1정(400mg)복용합니다.박멸을위하여7일뒤|한번만더1정(400mg)을복용합니다.회충|십이지장충|편충|아메리카구충에감염된경우1정(400mg)을단회(1회)복용합니다.분선충의다른기생충(조충)과중증(심한증상)혼합감염시1일1회1정(400mg)씩|3일간복용합니다.삼키기어려울경우씹거나소량의물로복용할수있으며식사를중단하거나하제를쓰는등의특별한과정은필요하지않습니다.치료3주후검사를하여치료되지않았으면경우에따라2차투여를실시할수있습니다.,이약에과민증환자|임부및임신하고있을가능성이있는여성및수유부|2세미만의소아|갈락토오스불내성|Lapp유당분해효소결핍증또는포도당-갈락토오스흡수장애등의유전적인문제가있는환자는이약을복용하지마십시오.이약을복용하기전에간장애|신장애환자|황색5호에과민증환자또는경험자는의사또는약사와상의하십시오.,이약을복용하는동안테오필린|시메티딘|프라지콴텔|덱사메타손|리토나비르|페니토인|카르바마제핀|페노바르비탈을함께복용하지마십시오.,피부점막안증후군(스티븐스-존슨증후군)|다형홍반(여러모양의붉은반점)|구역|구토|속쓰림|설사|상복부(배부분)또는복부(배부분)통증|두통및어지럼|발열|전신발적(충혈되어붉어짐)|발진|가려움|두드러기등의과민반응|가역적인(회복가능한)탈모증등이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
코메키나캡슐,(주)대웅제약,메퀴타진|밸라돈나총알카로이드|글리시리진산이칼륨|슈도에페드린염산염|카페인무수물,이약은코감기(급성비염)|알레르기성비염또는부비강염에의한코막힘|콧물|재채기|눈물|목의통증|머리무거움완화에사용합니다.,15세이상및성인은1회1캡슐씩1일3회|매식후에복용합니다.,15세미만소아|이약에과민증환자|임부및수유부|MAO억제제(항우울제|항정신병제|감정조절제|항파킨슨제등)를복용하고있거나복용을중단한후2주이내의사람|고혈압|심장질환|갑상선기능장애|당뇨병|녹내장|전립선비대|신장질환|간질|간염|고령자(65세이상)|갈락토오스불내성|Lapp유당분해효소결핍증또는포도당-갈락토오스흡수장애등의유전적인문제가있는환자는이약을복용하지마십시오.이약을복용하기전에감기약·진해거담제·비염용내복약등으로불면증·현기증·약점·떨림·심장의고동을일으킨적이있는사람|기침이있는사람(흡연|천식|만성기관지염|폐기종|과도한가래가동반되는기침|1주이상지속또는재발되는기침|만성기침|발열·발진이나지속적인두통이동반되는기침)이있는사람|황색5호에과민증환자는?의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.장기간계속하여복용하지마십시오.15세이상소아에게투여할경우보호자의지도감독하에투여하십시오.이약복용후졸음이나타날수있으므로운전및기계조작시주의하십시오.,MAO억제제(항우울제|항정신병제|감정조절제|항파킨슨제등)|?다른?비염용경구제|?항히스타민제를함유하는내복약(감기약|?진해거담제|?멀미약|알레르기용약등)과함께복용(사용)하지마십시오.복용중에는음주하지마십시오.,급성전신성발진성농포증|피부이상반응(발열|홍반|다수의작은농포등)|출혈성뇌졸중|구역·구토|목마름(지속적이거나심한)|변비|식욕부진|발진·발적|가려움|배뇨곤란|두통|안면홍조|비정상적인눈부심|쇽(복용후바로두드러기|부종|가슴답답함|창백|수족냉증|식은땀|숨쉬기곤란함)|요량감소|손발이붓고|눈꺼풀이무거워지고|손이굳어지고|혈압상승|두통|근병증(무력감|사지경련|마비등)|슈도에페드린성분과관련한허혈성대장염의증상등이나타나는경우?복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
광동아스피린장용정100mg,광동제약(주),아스피린,이약은심근경색|뇌경색|불안정형협심증에서혈전생성억제와?관상동맥우회술(CABG)또는경피경관관상동맥성형술(PTCA)후혈전생성억제와고위험군환자(허혈성심장질환의가족력|고혈압|고콜레스테롤혈증|비만|당뇨등복합적위험인자를가진환자)에서심혈관계위험성감소에사용합니다.,성인은1회1정|1일1회복용합니다.이약은장용정이므로충분한물과함께식전에복용할수있습니다.,이약또는다른살리실산제제|진통제|소염제|항류마티스제에대한과민증환자|?소화성궤양|?아스피린천식또는경험자|?혈우병|심한간장애|심한신장애|심한심기능부전|출혈경향|일주일동안메토트렉세이트15밀리그람(15mg/주)이상의용량을병용투여하는환자|?임신3기에해당하는임부는복용하지마십시오.?임신1기와2기에는반드시필요한경우가아니라면?이약을복용하지마십시오.이약을사용하기전에신장애|?심혈관순환기능이상(신혈관질환|울혈성심부전|체액감소|큰수술|패혈증또는주요출혈사고등)|간장애|심기능이상|기관지천식|?수술전의환자|?3세이하의유아|고령자|?포도당-6-인산염탈수소효소(G6PD)결핍환자|레이증후군|14세이하의수두또는인플루엔자감염환자|?통풍환자는?의사또는약사와상의하십시오.출혈의위험이있으므로수술(치과수술포함)을하는경우에는의사에게이약을복용하고있음을알리십시오.이약의장용피막을파손하지않도록유의하십시오.,다른?비스테로이드성?소염진통제?및?살리실산?제제|일주일동안메토트렉세이트15밀리그람(15mg/주)이상의용량은?이약과병용투여시출혈이증가되거나신기능이감소될수있으므로함께사용하지않습니다.항응고제|?이부프로펜|나프록센등일부비스테로이드성소염진통제|?혈전용해제|다른혈소판응집억제제|지혈제|당뇨병치료제(인슐린제제|톨부타미드등)|요산배설촉진제(벤즈브로마론|프로베네시드)|티아지드계이뇨제|리튬제제|선택적세포토닌재흡수억제제|디곡신|전신작용부신피질호르몬제제(애디슨병대체요법용히드로코티손제외)|안지오텐신전환효소억제제|발프로산제제를복용하는사람은의사또는약사와상의하십시오.알칼리제제(예:탄산수소나트륨|탄산마그네슘)또는습기가차기쉬운제제와함께섞지마십시오.알코올과병용투여시위장관점막손상이증가하고|이약과알코올의상승효과로인해출혈시간이연장될수있습니다.,쇽?증상(예:호흡곤란|전신조홍|혈관부종|두드러기)|천식발작|과민증(홍반|간지러움|코막힘|심장-호흡기장애|때때로발진|부종|두드러기|비염양증상|결막염)|드물게독성표피괴사용해(리엘증후군)|피부점막안증후군(스티븐스-존슨증후군)|박탈성피부염|재생불량성빈혈|빈혈|백혈구감소|혈소판감소|혈소판기능저하(출혈시간의지연)|귀에서소리가남|귀먹음|어지러움|두통|흥분|간장애|매우드물게?일시적인간손상|신장애|급성신부전|과호흡|대사성산증|과도한체온강하|허탈|사지냉각등이나타나는경우?즉시?복용을중지하고의사또는약사와상의하십시오.식욕부진|가슴쓰림|위통|구역|구토등이나타날수있습니다.,습기를피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
에르펜캡슐(에르도스테인),조아제약(주),에르도스테인,이약은급ㆍ만성호흡기질환에서의점액용해및거담에사용합니다.,성인은1회1캡슐(300mg)을1일2~3회복용합니다.급성호흡기질환에복용?시연속으로10일이상복용하지않습니다.,이약에과민증환자|간경변|?시스타티오닌합성효소결핍|?소화성궤양|?중증신장장애(크레아티닌청소율이이약을복용하기전에경증및중등도간장애환자|임부또는임신하고있을가능성이있는여성및수유부|황색5호에과민증인환자는의사또는약사와상담하십시오.,기침약을복용중인사람은의사또는약사와상의하십시오.,두통|감기|호흡곤란|미각이상|구역|구토|설사|상복부통|복통|속쓰림|두드러기|홍반|습진등이나타날수있습니다.,실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
미소쿨정,미래바이오제약(주),건조수산화알루미늄겔|침강탄산칼슘|탄산마그네슘|탄산수소나트륨,이약은위산과다|속쓰림|위부불쾌감|위부팽만감|체함|구역|구토|위통|신트림에사용합니다.,만15세이상및성인은1회2정|만8세이상15세미만은1회1정|1일3회식간(식사때와식사때사이)및취침시복용합니다.복용간격은4시간이상으로합니다.,투석요법을받고있는환자|만7세이하의어린이는이약을복용하지마십시오.이약을복용하기전에신장장애환자|나트륨제한식이를하는사람은?의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오.,테트라사이클린계항생제와함께복용하지마십시오.,변비|설사등이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
경남그린웰연질캡슐,경남제약(주),토코페롤아세테이트|아스코르브산|β-카로틴현탁액30%|유비데카레논|티아민질산염|리보플라빈|피리독신염산염|산화아연|셀레늄가루0.1%,이약은육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|노년기의비타민A|B1|B2|B6|C|E의보급과눈의건조감완화|야맹증(밤에잘못보는증상)그리고신경통|근육통|관절통(요통|어깨통증?등)|각기|눈의피로증상의완화|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화|햇빛ㆍ피부병등에의한색소침착(기미|주근깨)의완화|잇몸출혈ㆍ비출혈(코피)예방|말초혈행장애|갱년기시어깨ㆍ목결림|수족저림|수족냉증(손발이차가움)증상의완화와아연의보급에사용합니다.,성인은1회1캡슐씩|1일2회복용합니다.,이약또는대두유|콩|땅콩에과민증환자|만12개월미만의젖먹이는이약을복용하지마십시오.이약을복용하기전에고옥살산뇨증(뇨중에과량의수산염이배설되는상태)|임부및임신하고있을가능성이있는여성|수유부|미숙아|유아|소화성궤양|만성궤양성대장염|국한성대장염등의위장질환|심장·순환기계기능장애|신장장애|저단백혈증|통풍또는신장결석|고지단백혈증|당뇨병성고지질혈증및췌장염등지방대사이상환자|지질성유제를신중히투여해야하는환자|혈전(혈관막힘)성소인이있는환자는의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.요를황색으로변하게하여임상검사치에영향을주거나요검사시에혈당의검출을방해할수있습니다.1개월정도복용하여도증상의개선이없을경우복용을즉각중지하고의사또는약사와상의하십시오.,인산염|칼슘염|경구용테트라사이클린계제제|제산제|레보도파제제와함께복용하지마십시오.에스트로겐을포함한경구용피임제|항알도스테론제|트리암테렌과함께복용시의사또는약사와상의하십시오.녹차|홍차등탄닌을함유하는차는복용중|복용전후에는피하십시오.,구역|구토|묽은변|설사|변비|위부불쾌감|위장관장애|소화장애|상복부통증|가려움증|건조하고거친피부|통증성관절부종(부기)|발진|발적(충혈되어붉어짐)|피부염|땀·호흡시악취|탈모|조급증|저혈압|폐부종|생리가예정보다빨라지거나양이점점많아지거나|출혈이오래지속되는증상이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
윌로겔더블액션현탁액,(주)유한양행,알긴산나트륨|침강탄산칼슘|탄산수소나트륨,이약은산역류|속쓰림|위내용물의역류로인한소화불량(예를들어식사후|임신중|역류성식도염과동반하는경우)개선에사용합니다.,성인및12세이상의소아는1회10~20mL을1일4회(식후및취침전)복용합니다.,이약에과민증환자는이약을복용하지마십시오.이약을복용하기전에울혈심부전|신장애|고칼슘혈증|신석회침착증과재발성칼슘함유신결석환자|?12세미만의어린이는의사또는약사와상의하십시오.,이약을복용하는동안테트라사이클린|디곡신|플루오로퀴놀론|철염(Ironsalt)|케토코나졸|신경이완|티록신|페니실라민|베타차단제(아테놀올|메토프로롤|프로프라놀롤)|글루코코르티코이드|클로로퀸|에스트라무스틴및디포스포네이트등과?2시간의간격을두고복용하십시오.,가려움이나기관지수축|아나필락시스반응과같은알레르기반응이?나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
힙스브이파워정,미래바이오제약(주),벤포티아민|아스코르브산|리보플라빈|니코틴산아미드|판토텐산칼슘|d-비오틴|피리독신염산염|폴산|시아노코발라민1000배산|유비데카레논|콜린타르타르산염|이노시톨|γ-오리자놀|산화아연,이약은육체피로|임신·수유기|병중·병후(병을앓는동안이나회복후)의체력저하시비타민B1|B2|B6|C의보급에사용합니다.이약은함유된비타민등을통해신경통|근육통|관절통(요통|어깨결림등)|각기|눈의피로|구각염(입꼬리염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화에사용합니다.이약은아연의보급에사용합니다.?,만12세이상및성인은1회1정씩|1일1회식후에복용합니다.?,이약또는대두유|콩|땅콩에과민증환자|만12개월미만의젖먹이|고칼슘혈증(혈액중에칼슘이과잉으로존재하는환자)|유육종증(원인을알수없는전신염증환자)|신장질환?환자는이약을복용하지마십시오.?이약을복용하기전에임부및임신하고있을가능성이있는여성|수유부|미숙아|유아|고옥살산뇨증(뇨중에과량의수산염이배설되는상태)|심장?순환기계기능장애|신장장애|저단백혈증|통풍또는신장결석환자|폴산이부족한환자|지방과부하로특별한위험이예상되는환자는의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오.각종요검사시에혈당의검출을방해할수있으며|요를황색으로변하게하여임상검사치에영향을줄수있습니다.1개월정도복용하여도증상의개선이없을경우복용을즉각중지하고의사또는약사와상의하십시오.,인산염|칼슘염|경구용테트라사이클린계제제|제산제|레보도파와함께복용하지마십시오.항알도스테론제|트리암테렌과함께복용시의사또는약사와상의하십시오.녹차|홍차등탄닌을함유하는차는복용중|복용전후에는피하십시오.,구역|구토|설사|묽은변|위장관장애|소화장애|상복부통증|폐부종등의증상이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.?,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
미래나프록센나트륨정,미래바이오제약(주),나프록센나트륨,이약은류마티양관절염|골관절염(퇴행성관절질환)|강직성척추염|건염(힘줄염)|급성통풍|월경곤란증과?활액(윤활)낭염|골격근장애(염좌(삠)|좌상(타박상)|외상(상처)|요천통(허리통증))|수술후동통(통증)|편두통|발치(이를뽑음)후통증에사용합니다.,류마티양관절염|골관절염|강직성척추염에?성인은1회1~2정(275~550mg)|1일2회(12시간마다)|급성통풍에는초회량(처음복용량)으로3정(825mg)복용하고발작이없어질때까지8시간간격으로1정(275mg)을복용|골격근장애|수술후동통(통증)|발치(이를뽑음)후동통(통증)|월경곤란증|건염(힘줄염)|활액(윤활)낭염에는초회량(처음복용량)으로2정(550mg)을복용한후6~8시간간격으로1정(275mg)씩복용하고1일총용량이5정(1|375mg)을초과하지않도록합니다.편두통에는초회량(처음복용량)으로3정(825mg)을복용하고필요하면1일1~2정(275~550mg)을더복용할수있으며초회량(처음복용량)의복용?30분후에복용합니다.1일총용량이5정(1|375mg)을초과하지않도록합니다.,이약에과민증환자|소화성궤양|심한혈액이상|심한간장애|심한심기능부전|심한신장애|심한고혈압|아스피린등비스테로이드성소염진통제에과민증환자|아스피린이나다른비스테로이드성소염진통제(COX-2저해제포함)에의하여천식|비염(코염)|코의용종|두드러기|알레르기반응또는경험자|관상동맥(심장동맥)우회로술전후에발생하는통증의치료및?갈락토오스불내성|Lapp유당분해효소결핍증또는포도당-갈락토오스흡수장애등의유전적인문제가있는환자|임부|수유부|2세이하의소아는이약을복용하지마십시오.이약을복용하기전에임부및임신하고있을가능성이있는부인|소아|고령자|소화성궤양경험자|?혈액이상경험자|?출혈경향이있는환자|?간장애또는경험자|신장애또는경험자|?심기능장애|?고혈압|?기관지천식|?전신성홍반성루푸스?및혼합결합조직질환?환자는?의사또는약사와상의하십시오.,다른비스테로이드성소염진통제?및나프록센유도체|아스피린|?고용량의메토트렉세이트와함께복용하지마십시오.히단토인계항간질제|설파제|설포닐요소계혈당강하제|프로프라놀롤및다른&beta;-차단제|ACE저해제(억제제)(캅토프릴등)|루프계이뇨제및티아지드계이뇨제|프로베네시드|리튬|저용량메토트렉세이트|쿠마린계항응혈제(혈액응고저지제)(와파린등)|지도부딘|뉴퀴놀론계항생물질(에녹사신등)과함께복용시?의사또는약사와상의하십시오.,심근경색증및뇌졸중의위험증가|위장관의출혈|궤양및천공(뚫림)등치명적일수있는중대한위장관계이상반응|드물게쇽증상(호흡곤란|혈압강하|서맥(느린맥)|식은땀|부기)|PIE증후군(호산구증가를수반하는폐침윤:발열|숨을쌕쌕거림|기침|가래를동반함)|두드러기|때때로발진|가려움등의과민증상|토혈(혈액구토)|위장출혈|소화성궤양|천공|무균성수막염(심한두통|구역|구토|불면|목이뻣뻣함|발열또는의식장애)|습진|땀이남|자반(자주색반점)|?광과민증|탈모|발적(충혈되어붉어짐)|괴사성용해|다형성홍반(여러모양의붉은반점)|스티븐스-존슨증후군(피부점막안증후군)|독성표피괴사용해(리엘증후군)|두드러기|표피수포증|호산구증가및전신?증상?동반?약물?반응|?고정약물발진|탈락성피부염|드물게무과립구증|백혈구감소|혈소판감소|재생불량성빈혈|용혈성(적혈구파괴성)빈혈|혈소판기능저하(출혈시간의연장)등의혈액장애?등이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.때때로위부불쾌감|위통|복통|구역|구토|식욕부진|소화불량|가슴쓰림|설사|변비|구내염(입안염)|드물게복부팽만감|흑변|구갈|?GOT|GPT수치의상승|황달|간염|신장애|신장염|혈뇨|고칼륨혈증|간질성신염|신증후군|신장(콩팥)유두괴사|단백뇨(단백질이섞인오줌)|신부전|귀울림|청각장애|시각장애|부기|호흡곤란|심계항진(두근거림)|근무력증(근육무력증)|울혈성심부전|호산구성폐렴|아나필락시양반응|월경장애|오한(춥고떨리는증상)과발열|혈관염|고혈당|저혈당등이나타날수있습니다.,실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
티아셀포르테액,(주)한국비엠아이,아셀렌산나트륨오수화물|티아민염산염,이약은육체피로|임신?수유기|병중?병후(병을앓는동안이나회복후)의체력저하시의?비타민B₁의보급및?신경통|근육통|관절통(요통|어깨결림등)|?각기|눈의피로의완화|셀레늄의보급에사용합니다.,만12세이상및성인은1일2회|1회1포씩복용하십시오.,이약및이약에포함된성분에과민증|?만12개월미만의젖먹이는이약을복용하지마십시오.이약을복용하기전에?의사의치료를받고있는환자|?소화성궤양|만성궤양성대장염|국한성대장염등의위장질환환자|?심장·순환기계기능장애환자|?신장장애환자|?저단백혈증환자는의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.,인산염|칼슙염|경구용테트라사이클린계제제|제산제와함께복용하지마십시오.항알도스테론제|트리암테렌과병용투여시고칼륨혈증을일으킬수있으므로주의하십시오.녹차|홍차등탄닌을함유하는차는복용중|복용전후에는피하십시오.,구역|구토|묽은변|피부염|땀·호흡시악취|탈모|조급증|구토|?우발적으로과량복용한경우|?1개월정도복용하여도증상의개선이없을경우는복용을즉각중지하고의사또는약사와상의하십시오.,실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
